View,Card / Section,Tier,Recommended placement,Action,Default state,Priority,Effort,Rationale
Settings,Reminders & weather,primary-action,Reminders tab,keep,always-visible,P2,S,Reminder settings; fine.
Settings,Your data at a glance,daily-glance,Data tab: top,keep,always-visible,P2,S,Storage glance is useful at top of data tab.
Settings,Journal summary,analytics,Data tab (collapsed),collapse,collapsed,P3,S,Coverage analytics; fold in the data tab.
Settings,Page header,reference,Top,keep,always-visible,P3,S,Standard header; no change.
Stats,Mood by weekday,redundant,CUT (Insights owns weekday mood),cut,n/a,P1,S,Duplicates Insights 'Best & worst day (mood)'; keep one canonical weekday-mood chart.
Stats,Year in pixels,redundant,MERGE into Mood calendar toggle,merge,collapsed,P1,M,Same daily-mood tint as mood calendar; combine into a single toggleable view.
Stats,Tags,redundant,CUT (Collections + Tag manager own tags),cut,n/a,P2,S,Tag cloud duplicates Collections Tags and Insights Tag manager; remove.
Stats,Mood calendar,analytics,Section: Mood views (collapsed toggle),merge,collapsed,P2,M,Mood calendar and Year-in-pixels show the same data; merge into one toggle.
Stats,Activity (heatmap),daily-glance,Top: activity,keep,always-visible,P2,S,Show-up heatmap is the signature top card of Stats.
Stats,This week at a glance,analytics,Section: This week (collapsed),keep,collapsed,P2,S,"Radar of 7-day averages overlaps Trackers metrics; keep but collapsed, link to Trackers."
Stats,Achievements (AchievementsCard),analytics,Top: achievements,keep,expanded,P3,S,Badge grid is engaging; fine near top.
Stats,Enlarge modal,reference,Overlay (on demand),keep,n/a,P3,S,Supporting overlay; no change.
Stats,Focus vs sleep,analytics,Section: Sleep & mood (collapsed),keep,collapsed,P3,S,Correlation; grouped.
Stats,Sleep debt,analytics,Section: Sleep & mood (collapsed),keep,collapsed,P3,S,Sleep deficit; grouped.
Stats,Sleep vs mood,analytics,Section: Sleep & mood (collapsed),keep,collapsed,P3,S,Scatter; collapsed group.
Stats,Task breakdown,analytics,Section: Tasks (collapsed),keep,collapsed,P3,S,Outcome donut; collapsed.
Stats,When you check in (CheckinTimesCard),analytics,Section: Habit timing (collapsed),keep,collapsed,P3,S,Check-in histogram; collapsed.
Stats,Workout minutes,analytics,"Section: Fitness stats (collapsed, link out)",keep,collapsed,P3,S,Overlaps Fitness 'This week' minutes; collapse and prefer the domain card.
Stats,Workout split,analytics,Section: Fitness stats (collapsed),keep,collapsed,P3,S,Session-type donut; collapsed.
Today,Count habits,primary-action,Top: daily actions,merge,always-visible,P0,M,"Steppers should sit in one unified habit block with TodayHabits, not split boolean vs count."
Today,Daily log (prettyDay),primary-action,Mid: the day,keep,always-visible,P0,S,The journal entry list is the heart of the app and stays prominent.
Today,TodayHabits,primary-action,Top: daily actions,keep,always-visible,P0,S,Core daily check-off must be above the fold.
Today,TodayPlanCard,daily-glance,Top: today command centre,keep,always-visible,P0,S,Command centre + week strip is the natural first thing on the daily view.
Today,Keep your streaks (AtRiskNudge),daily-glance,Top: daily actions,merge,always-visible,P1,M,"At-risk chips belong inside TodayHabits as a highlighted row, not a separate card."
Today,Weekly goals (WeeklyGoalRings),analytics,Section: This week (collapsed),collapse,collapsed,P1,S,"Rings are analytics, not a daily action; fold below the day so logging leads."
Today,Wellbeing,primary-action,Top: daily actions (move out of right rail),move,always-visible,P1,S,Mood/sleep logging is a primary daily action; pull from rail into main flow for mobile.
Today,CoachCard,daily-glance,Top: today command centre,keep,always-visible,P1,S,Proactive do-this-next belongs at the very top to drive action.
Today,Daily memory,primary-action,Mid: reflect (2-col),keep,always-visible,P2,S,Memorable-line + photo is a core journaling ritual.
Today,FastingCard,primary-action,Top: daily actions (gated),keep,collapsed,P2,S,Loggable but niche; keep but collapse unless fasting is enabled.
Today,Gratitude,primary-action,Mid: reflect (2-col),keep,always-visible,P2,S,"Light daily reflection input, fine in the mid grid."
Today,PenaltyCard,daily-glance,Top: today command centre (conditional),keep,collapsed,P2,S,Nudge only matters when there is a skipped habit; render conditionally and compact.
Today,Reflection,primary-action,Mid: reflect (2-col),keep,always-visible,P2,S,Settings-gated reflection prompt pairs with gratitude.
Today,On this day,daily-glance,Section: Memories (collapsed),keep,collapsed,P3,S,"Nice flashback but not load-bearing; already collapsed, keep low."
Today,Stickers,reference,Section: Decorate (collapsed),keep,collapsed,P3,S,Pure decoration; stays collapsed at the bottom.
Trackers,Habit & intake tracker,primary-action,Top: logging grid,keep,always-visible,P0,S,Main logging surface; the core of the view.
Trackers,Today (TodayStrip),primary-action,Top: daily actions,keep,always-visible,P0,S,Quick check-in chips are the primary daily action on Trackers.
Trackers,Category roll-up,redundant,MERGE into Category consistency,merge,collapsed,P1,M,Duplicates the consistency radar's category data; merge into one category card.
Trackers,"Trends (collapsible section, default open)",analytics,Section: This week (collapsed),collapse,collapsed,P1,S,Change default to collapsed so logging leads on mobile.
Trackers,At a glance,daily-glance,Top: status strip,keep,always-visible,P1,S,Roll-up tiles give the today-done status; keep as the lead strip.
Trackers,Streak leaderboard,analytics,Section: Deep analytics,keep,collapsed,P1,M,Canonical streak leaderboard; cut the duplicate in Insights.
Trackers,Quick add presets + new-habit input,primary-action,Inside tracker card (collapsed),collapse,collapsed,P2,S,"Add-habit form is setup, not daily; fold to declutter the grid footer."
Trackers,Best weekdays,analytics,Section: Deep analytics,keep,collapsed,P2,S,"Weekday completion; canonical here, dedupe Insights focus-habit copy."
Trackers,Category consistency (CategoryConsistencyCard),analytics,Section: This week (Trends),keep,collapsed,P2,S,Radar is useful but secondary; lives in the collapsed Trends section.
Trackers,Completion heatmap,analytics,Section: Deep analytics,keep,collapsed,P2,S,Heatmap is deep history; stays collapsed.
Trackers,"Deep analytics (collapsible section, default closed)",analytics,Section: Deep analytics (collapsed),keep,collapsed,P2,S,Already correct pattern; this is the model other views should copy.
Trackers,Monthly trend,analytics,Section: Deep analytics,keep,collapsed,P2,S,Historical completion chart; fine collapsed.
Trackers,Mood · Stress · Sleep (MetricsTrendCard),analytics,Section: This week (Trends),keep,collapsed,P2,S,Canonical home for the metrics trend; Stats radar should link here not duplicate.
Trackers,Archived habits,reference,Bottom: manage (collapsed),keep,collapsed,P3,S,Maintenance utility; bottom and folded.
Trackers,HabitEditor (modal),primary-action,Modal (on demand),keep,n/a,P3,S,On-demand overlay; no placement change needed.
Trackers,Perfect days,analytics,Section: Deep analytics,keep,collapsed,P3,S,Fun stat tiles; collapsed is fine.
Welcome,First-run gate (account vs this-device vs guest),primary-action,Full-screen gate,keep,always-visible,P3,S,Onboarding entry; keep minimal.
